clip_id,bird_name,scientific_name,family,xeno_canto_recording_id,recordist,source_url,license_name,license_url,original_length_seconds,clip_start_seconds,clip_end_seconds,clip_length_seconds,modified,commercial_allowed,derivatives_allowed,share_alike_required,app_safe,app_safe_reason
968,Abert's Towhee,Melozone aberti,Towhees and Sparrows (Passerellidae),863097,Scott Crabtree,https://xeno-canto.org/863097,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,82.0,17.33,37.33,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
646,Acadian Flycatcher,Empidonax virescens,Tyrant Flycatchers (Tyrannidae),1036513,Bobby Wilcox,https://xeno-canto.org/1036513,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,25.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
561,Acorn Woodpecker,Melanerpes formicivorus,Woodpeckers and Allies (Picidae),494259,Phoenix Birder,https://xeno-canto.org/494259,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,70.0,13.33,33.33,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
127,African Collared-Dove (1969-1994),Streptopelia roseogrisea,Pigeons and Doves (Columbidae),375491,Jonathan Fosdick,https://xeno-canto.org/375491,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,9.0,0.0,9.0,9.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
852,African Silverbill,Euodice cantans,Waxbills (Estrildidae),209513,Ross Gallardy,https://xeno-canto.org/209513,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,42.0,4.0,24.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
892,Akekee,Loxops caeruleirostris,Fringilline and Cardueline Finches and Allies (Fringillidae),210201,Ross Gallardy,https://xeno-canto.org/210201,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,76.0,15.33,35.33,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
886,Akiapolaau,Hemignathus wilsoni,Fringilline and Cardueline Finches and Allies (Fringillidae),747456,Brooks Rownd,https://xeno-canto.org/747456,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,76.0,15.33,35.33,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
878,Akikiki,Oreomystis bairdi,Fringilline and Cardueline Finches and Allies (Fringillidae),317034,Patrick Blake,https://xeno-canto.org/317034,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,50.0,6.67,26.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
882,Akohekohe,Palmeria dolei,Fringilline and Cardueline Finches and Allies (Fringillidae),122342,Brooks Rownd,https://xeno-canto.org/122342,CC BY-NC-SA 3.0,https://creativecommons.org/licenses/by-nc-sa/3.0/,101.0,23.67,43.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
647,Alder Flycatcher,Empidonax alnorum,Tyrant Flycatchers (Tyrannidae),1069847,Benjamin Drillat,https://xeno-canto.org/1069847,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,91.0,20.33,40.33,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
327,Aleutian Tern,Onychoprion aleuticus,"Gulls, Terns, and Skimmers (Laridae)",1045888,AUDEVARD Aurélien,https://xeno-canto.org/1045888,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,42.0,4.0,24.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
173,Allen's Hummingbird,Selasphorus sasin,Hummingbirds (Trochilidae),690436,Paul Marvin,https://xeno-canto.org/690436,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,100.0,23.33,43.33,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
986,Altamira Oriole,Icterus gularis,Blackbirds (Icteridae),359069,Paul Marvin,https://xeno-canto.org/359069,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,7.0,0.0,7.0,7.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
556,Amazon Kingfisher,Chloroceryle amazona,Kingfishers (Alcedinidae),1016902,Franco Vushurovich,https://xeno-canto.org/1016902,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,54.0,8.0,28.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
209,American Avocet,Recurvirostra americana,Stilts and Avocets (Recurvirostridae),891493,Ed Pandolfino,https://xeno-canto.org/891493,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,1.0,0.0,1.0,1.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
529,American Barn Owl,Tyto furcata,Barn Owls (Tytonidae),583813,Eric Zawatski,https://xeno-canto.org/583813,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,16.0,0.0,16.0,16.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
474,American Bittern,Botaurus lentiginosus,"Bitterns, Herons, and Allies (Ardeidae)",451067,Justin Watts,https://xeno-canto.org/451067,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,111.0,27.0,47.0,20.0,yes,yes,yes,yes,yes,"Commercial derivatives allowed, but the trimmed clip must remain under the same ShareAlike license."
39,American Black Duck,Anas rubripes,"Ducks, Geese, and Swans (Anatidae)",764687,William Whitehead,https://xeno-canto.org/764687,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,52.0,7.33,27.33,20.0,yes,no,no,no,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
202,American Coot,Fulica americana,"Rails, Gallinules, and Coots (Rallidae)",1040451,Greg Irving,https://xeno-canto.org/1040451,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,68.0,12.67,32.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
699,American Crow,Corvus brachyrhynchos,Jays and Crows (Corvidae),807484,Barry Edmonston,https://xeno-canto.org/807484,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,48.0,6.0,26.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
801,American Dipper,Cinclus mexicanus,Dippers (Cinclidae),877031,Skyler Bol,https://xeno-canto.org/877031,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,10.0,0.0,10.0,10.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
101,American Flamingo,Phoenicopterus ruber,Flamingos (Phoenicopteridae),994738,FREDERIC Lionel,https://xeno-canto.org/994738,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,27.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
215,American Golden-Plover,Pluvialis dominica,Lapwings and Plovers (Charadriidae),1046370,AUDEVARD Aurélien,https://xeno-canto.org/1046370,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,22.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
914,American Goldfinch,Spinus tristis,Fringilline and Cardueline Finches and Allies (Fringillidae),1090062,Manuel Grosselet,https://xeno-canto.org/1090062,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,41.0,3.67,23.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
371,American Herring Gull,Larus smithsonianus,"Gulls, Terns, and Skimmers (Laridae)",983976,Valerie Heemstra,https://xeno-canto.org/983976,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,175.0,48.33,68.33,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
587,American Kestrel,Falco sparverius,Caracaras and Falcons (Falconidae),1010600,Scott Crabtree,https://xeno-canto.org/1010600,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,56.0,8.67,28.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
211,American Oystercatcher,Haematopus palliatus,Oystercatchers (Haematopodidae),565541,William Whitehead,https://xeno-canto.org/565541,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,22.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
870,American Pipit,Anthus rubescens,Wagtails and Pipits (Motacillidae),14085,Andrew Spencer,https://xeno-canto.org/14085,CC BY-NC-ND 2.5,https://creativecommons.org/licenses/by-nc-nd/2.5/,58.0,9.33,29.33,20.0,yes,no,no,no,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
1025,American Redstart,Setophaga ruticilla,Wood-Warblers (Parulidae),1087127,Sue Riffe,https://xeno-canto.org/1087127,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,7.0,0.0,7.0,7.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
828,American Robin,Turdus migratorius,Thrushes (Turdidae),1100538,Jim Berry,https://xeno-canto.org/1100538,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,114.0,28.0,48.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
569,American Three-toed Woodpecker,Picoides dorsalis,Woodpeckers and Allies (Picidae),963173,Bill Pyle,https://xeno-canto.org/963173,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,96.0,22.0,42.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
947,American Tree Sparrow,Spizelloides arborea,Towhees and Sparrows (Passerellidae),562185,Steve Hampton,https://xeno-canto.org/562185,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,21.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
470,American White Pelican,Pelecanus erythrorhynchos,Pelicans (Pelecanidae),36292,Andrew Spencer,https://xeno-canto.org/36292,CC BY-NC-ND 2.5,https://creativecommons.org/licenses/by-nc-nd/2.5/,21.0,0.0,20.0,20.0,yes,no,no,no,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
33,American Wigeon,Mareca americana,"Ducks, Geese, and Swans (Anatidae)",857365,Scott Crabtree,https://xeno-canto.org/857365,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,17.0,0.0,17.0,17.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
274,American Woodcock,Scolopax minor,"Sandpipers, Phalaropes, and Allies (Scolopacidae)",805470,Alex Lin-Moore,https://xeno-canto.org/805470,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,98.0,22.67,42.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
163,Amethyst-throated Mountain-gem,Lampornis amethystinus,Hummingbirds (Trochilidae),330585,Andrew Spencer,https://xeno-canto.org/330585,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,55.0,8.33,28.33,20.0,yes,no,no,no,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
312,Ancient Murrelet,Synthliboramphus antiquus,"Auks, Murres, and Puffins (Alcidae)",950123,Matthew L. Brady,https://xeno-canto.org/950123,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,74.0,14.67,34.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
458,Anhinga,Anhinga anhinga,Darters (Anhingidae),705562,Paul Driver,https://xeno-canto.org/705562,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,4.0,0.0,4.0,4.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
887,Anianiau,Magumma parva,Fringilline and Cardueline Finches and Allies (Fringillidae),210206,Ross Gallardy,https://xeno-canto.org/210206,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,20.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
169,Anna's Hummingbird,Calypte anna,Hummingbirds (Trochilidae),1083908,Greg Irving,https://xeno-canto.org/1083908,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,39.0,3.0,23.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
142,Antillean Nighthawk,Chordeiles gundlachii,Goatsuckers (Caprimulgidae),102918,Andrew Spencer,https://xeno-canto.org/102918,CC BY-NC-ND 2.5,https://creativecommons.org/licenses/by-nc-nd/2.5/,120.0,30.0,50.0,20.0,yes,no,no,no,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
158,Antillean Palm Swift (Palm-Swift),Tachornis phoenicobia,Swifts (Apodidae),800415,Daniel Parker,https://xeno-canto.org/800415,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,63.0,11.0,31.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
883,Apapane,Himatione sanguinea,Fringilline and Cardueline Finches and Allies (Fringillidae),864171,Bobby Wilcox,https://xeno-canto.org/864171,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,114.0,28.0,48.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
591,Aplomado Falcon,Falco femoralis,Caracaras and Falcons (Falconidae),880847,JAYRSON ARAUJO DE OLIVEIRA,https://xeno-canto.org/880847,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,10.0,0.0,10.0,10.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
384,Arctic Loon,Gavia arctica,Loons (Gaviidae),1101884,Ulf Elman,https://xeno-canto.org/1101884,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,35.0,1.67,21.67,20.0,yes,no,no,no,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
339,Arctic Tern,Sterna paradisaea,"Gulls, Terns, and Skimmers (Laridae)",1045887,AUDEVARD Aurélien,https://xeno-canto.org/1045887,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,6.0,0.0,6.0,6.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
752,Arctic Warbler,Phylloscopus borealis,Leaf Warblers (Phylloscopidae),1011907,Benjamin Drillat,https://xeno-canto.org/1011907,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,30.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
578,Arizona Woodpecker,Dryobates arizonae,Woodpeckers and Allies (Picidae),782616,Paul Marvin,https://xeno-canto.org/782616,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,44.0,4.67,24.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
618,Ash-throated Flycatcher,Myiarchus cinerascens,Tyrant Flycatchers (Tyrannidae),915539,Matt Wistrand,https://xeno-canto.org/915539,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,172.0,47.33,67.33,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
406,Ashy Storm-Petrel,Hydrobates homochroa,Northern Storm-Petrels (Hydrobatidae),838760,Matthew L. Brady,https://xeno-canto.org/838760,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,137.0,35.67,55.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
833,Asian Brown Flycatcher,Muscicapa dauurica,Old World Flycatchers (Muscicapidae),1070121,JJSUN,https://xeno-canto.org/1070121,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,35.0,1.67,21.67,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
896,Asian Rosy-Finch,Leucosticte arctoa,Fringilline and Cardueline Finches and Allies (Fringillidae),294808,Ross Gallardy,https://xeno-canto.org/294808,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,16.0,0.0,16.0,16.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
319,Atlantic Puffin,Fratercula arctica,"Auks, Murres, and Puffins (Alcidae)",821150,Killian Sullivan,https://xeno-canto.org/821150,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,31.0,0.33,20.33,20.0,yes,yes,yes,no,yes,Commercial derivatives allowed with attribution.
388,Atlantic Yellow-nosed (Yellow-nosed) Albatross,Thalassarche chlororhynchos,Albatrosses (Diomedeidae),615665,Nature sounds by Simply Birding,https://xeno-canto.org/615665,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,31.0,0.33,20.33,20.0,yes,no,no,no,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
987,Audubon's Oriole,Icterus graduacauda,Blackbirds (Icteridae),358991,Paul Marvin,https://xeno-canto.org/358991,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,22.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
831,Aztec Thrush,Ridgwayia pinicola,Thrushes (Turdidae),1088278,Manuel Grosselet,https://xeno-canto.org/1088278,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,18.0,0.0,18.0,18.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
933,Bachman's Sparrow,Peucaea aestivalis,Towhees and Sparrows (Passerellidae),1087240,steve,https://xeno-canto.org/1087240,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,30.0,0.0,20.0,20.0,yes,yes,yes,yes,yes,"Commercial derivatives allowed, but the trimmed clip must remain under the same ShareAlike license."
796,Bahama Mockingbird,Mimus gundlachii,Mockingbirds and Thrashers (Mimidae),1102841,PT xiao,https://xeno-canto.org/1102841,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,28.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
730,Bahama Swallow,Tachycineta cyaneoviridis,Swallows (Hirundinidae),331599,Andrew Spencer,https://xeno-canto.org/331599,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,30.0,0.0,20.0,20.0,yes,no,no,no,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
168,Bahama Woodstar,Nesophlox evelynae,Hummingbirds (Trochilidae),331607,Andrew Spencer,https://xeno-canto.org/331607,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,9.0,0.0,9.0,9.0,yes,no,no,no,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
25,Baikal Teal,Sibirionetta formosa,"Ducks, Geese, and Swans (Anatidae)",674861,Albert Lastukhin,https://xeno-canto.org/674861,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,25.0,0.0,20.0,20.0,yes,no,no,no,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
262,Baird's Sandpiper,Calidris bairdii,"Sandpipers, Phalaropes, and Allies (Scolopacidae)",185621,Andrew Spencer,https://xeno-canto.org/185621,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,22.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
961,Baird's Sparrow,Centronyx bairdii,Towhees and Sparrows (Passerellidae),872719,Meena Haribal,https://xeno-canto.org/872719,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,84.0,18.0,38.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
507,Bald Eagle,Haliaeetus leucocephalus,"Hawks, Kites, Eagles, and Allies (Accipitridae)",1048352,Greg Irving,https://xeno-canto.org/1048352,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,12.0,0.0,12.0,12.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
988,Baltimore Oriole,Icterus galbula,Blackbirds (Icteridae),1036385,Bobby Wilcox,https://xeno-canto.org/1036385,CC BY-NC-SA 4.0,https://creativecommons.org/licenses/by-nc-sa/4.0/,26.0,0.0,20.0,20.0,yes,no,yes,yes,no,NonCommercial license; exclude from paid app unless the recordist grants permission.
